Id,GrLivArea,Street,OverallQual,GarageCars,GarageArea,LandSlope,TotRmsAbvGrd,Utilities,FullBath,X1stFlrSF,TotalBsmtSF,age,YearBuilt,YearRemodAdd,Fireplaces,GarageYrBlt,MasVnrArea,LotArea,X2ndFlrSF,BedroomAbvGr,BsmtFinSF1,HalfBath,SalePrice
1044,1671,Pave,6,2,423,Gtl,7,AllPub,2,781,781,11,1995,1995,1,1995,0,13041,890,3,0,1,184516.7166
1045,1776,Pave,6,2,443,Gtl,7,AllPub,2,821,821,10,1996,1996,1,1996,0,9783,955,3,0,1,181419.5253
1046,2064,Pave,8,2,527,Gtl,7,AllPub,2,1074,1074,1,2005,2005,1,2005,216,13128,990,4,0,1,196858.9234
1047,2212,Pave,7,3,773,Gtl,9,AllPub,2,1700,1700,1,2005,2006,1,2006,248,13751,512,3,60,1,189228.7015
1048,2687,Pave,8,2,618,Gtl,9,AllPub,2,2079,2062,12,1994,1994,0,1994,0,13108,608,4,0,1,208973.3808
1049,1169,Pave,6,2,402,Gtl,6,AllPub,2,1169,1160,13,1993,1994,1,1993,112,8076,0,3,705,0,180269.869
1050,1204,Pave,8,2,461,Gtl,5,AllPub,2,1204,1191,19,1987,1987,0,1987,0,3701,0,2,0,0,159488.7137
1051,2798,Pave,9,3,670,Gtl,11,AllPub,3,,1398,1,2005,2006,1,2005,600,16023,1384,3,1218,1,191490.2995
1052,3390,Pave,10,3,758,Gtl,10,AllPub,3,,1528,0,2006,2006,1,2006,662,18062,1862,5,0,1,228684.2451
1053,2473,Pave,9,3,675,Gtl,11,AllPub,2,1102,1094,0,2006,2006,1,2006,184,12292,1371,4,205,1,201842.9987
1054,2698,Pave,10,3,736,Gtl,11,AllPub,2,1850,1850,0,2006,2006,1,2006,734,16052,848,4,1206,1,209242.8229
1055,2795,Pave,9,3,660,Gtl,10,AllPub,3,1390,1390,1,2005,2006,1,2005,550,15922,1405,4,0,1,202357.6226
1056,1714,Pave,9,2,517,Gtl,7,AllPub,2,1714,1714,1,2005,2005,1,2005,230,8147,0,2,1191,0,168238.6122
1057,2000,Pave,9,3,722,Gtl,8,AllPub,2,2000,1910,1,2005,2005,2,2005,420,18261,0,3,1416,1,202524.1247
1058,1102,Pave,6,2,582,Gtl,5,AllPub,1,1102,988,26,1980,1980,1,1980,130,10464,0,2,850,0,170588.7719
1059,1857,Pave,7,2,482,Gtl,8,AllPub,2,945,945,28,1978,1978,1,1978,68,10530,912,4,0,1,198375.3151
1060,1083,Pave,7,2,596,Gtl,5,AllPub,1,1083,1047,30,1976,1976,1,1976,252,9927,0,2,1005,0,170636.8279
1061,2318,Pave,7,2,541,Gtl,8,AllPub,2,960,960,1,2005,2006,1,2005,0,9512,1358,3,788,1,181991.0795
1062,1875,Pave,6,2,485,Gtl,8,AllPub,3,1109,675,31,1975,2000,1,1975,248,10530,766,3,548,0,183994.5425
1063,1103,Pave,6,2,462,Gtl,6,AllPub,2,1103,1103,32,1974,1974,0,1974,176,10000,0,3,755,0,182951.4822
1064,874,Pave,4,2,576,Gtl,5,AllPub,1,874,864,35,1971,1971,0,1995,0,7200,0,3,20,0,174126.2972
1065,1419,Pave,6,2,543,Gtl,4,AllPub,2,1419,1487,4,2002,2002,0,2002,0,8773,0,2,951,0,170575.4967
1066,1092,Pave,6,2,440,Gtl,6,AllPub,1,525,525,33,1973,1973,0,1973,514,2760,567,3,0,1,175332.2399
1067,1365,Pave,5,2,440,Gtl,7,AllPub,1,765,765,33,1973,1973,1,1973,200,2160,600,3,402,1,167522.0615
1068,1030,Pave,6,1,264,Gtl,6,AllPub,1,494,494,34,1972,1972,0,1973,380,1890,536,3,282,1,168095.5837
1069,948,Pave,6,1,264,Gtl,5,AllPub,1,483,483,34,1972,1972,0,1972,504,1680,465,2,276,1,154406.4156
1070,1092,Pave,6,1,264,Gtl,6,AllPub,1,525,525,34,1972,1972,0,1972,504,1680,567,3,382,1,170996.9733
1071,1069,Pave,6,2,440,Gtl,4,AllPub,2,1069,1069,31,1975,1975,1,1975,0,4043,0,2,727,0,159056.8902
1072,1387,Pave,5,1,300,Gtl,6,AllPub,1,1387,943,39,1967,1975,1,1974,0,7514,0,3,373,0,181373.6165
1073,1055,Pave,7,1,319,Gtl,4,AllPub,2,1055,1055,30,1976,1976,0,1976,0,2280,0,2,120,0,152272.561
1074,1456,Pave,6,2,460,Gtl,6,AllPub,2,855,855,30,1976,1976,1,1976,0,2179,601,3,70,1,168664.3468
1075,2589,Pave,9,3,831,Gtl,11,AllPub,2,1738,1738,0,2006,2006,1,2006,215,16387,851,4,1369,1,211007.0083
1076,1618,Pave,8,3,880,Gtl,6,AllPub,2,,1618,2,2004,2004,1,2004,232,16163,0,2,0,0,182909.515
1077,1740,Pave,7,3,874,Gtl,8,AllPub,2,,1721,0,2006,2006,0,2006,206,12228,0,4,0,0,203926.8294
1078,1868,Pave,9,3,1085,Mod,7,AllPub,2,1868,1868,1,2005,2005,1,2005,568,14780,0,2,1505,0,179082.8254
1079,2206,Pave,9,3,670,Gtl,10,AllPub,2,1117,1090,1,2005,2006,1,2005,525,13975,1089,4,0,1,206260.0998
1080,2091,Pave,9,2,521,Gtl,8,AllPub,2,1625,1606,1,2005,2006,1,2005,385,9942,466,3,1290,1,181732.4434
1081,2253,Pave,8,2,575,Gtl,8,AllPub,2,1209,1209,1,2005,2006,1,2005,0,12867,1044,3,0,1,189698.7407
1082,2389,Pave,8,3,672,Gtl,10,AllPub,2,1054,1054,0,2006,2006,1,2006,0,10672,1335,4,0,1,203074.3468
1083,2358,Pave,8,3,784,Gtl,10,AllPub,2,1544,1524,1,2005,2006,1,2005,142,11643,814,4,880,1,201670.6344
1084,1792,Pave,9,3,925,Gtl,6,AllPub,2,1792,1792,1,2005,2006,1,2005,430,13758,0,2,1232,0,173756.8126
1085,1780,Pave,9,3,816,Gtl,7,AllPub,2,1780,1780,2,2004,2005,1,2004,674,14828,0,2,1383,0,181387.0764
1086,1914,Pave,8,3,746,Gtl,9,AllPub,2,1426,1420,2,2004,2004,1,2004,112,13215,488,3,994,1,184859.1553
1087,1565,Pave,9,2,556,Gtl,6,AllPub,2,1565,1560,1,2005,2005,1,2005,278,5911,0,2,472,0,158313.6157
1088,1686,Pave,9,3,899,Gtl,6,AllPub,2,1686,1686,0,2006,2006,1,2006,518,7740,0,1,1023,0,151951.9554
1089,1666,Pave,9,2,575,Gtl,6,AllPub,2,1666,1666,0,2006,2006,1,2006,572,6373,0,2,415,0,162537.527
1090,1456,Pave,6,2,390,Gtl,8,AllPub,2,728,728,1,2005,2006,1,2005,0,10237,728,3,0,1,178998.3371
1091,1492,Pave,7,2,440,Gtl,8,AllPub,2,738,738,0,2006,2006,0,2006,0,10237,754,3,0,1,186732.5849
1092,1326,Pave,6,2,427,Gtl,6,AllPub,2,1326,1326,0,2006,2006,0,2006,0,11660,0,3,0,0,187323.3184
1093,2373,Pave,8,3,632,Gtl,9,AllPub,2,1052,1052,2,2004,2005,1,2004,236,11631,1321,4,0,1,199437.2328
1094,1492,Pave,7,2,440,Gtl,8,AllPub,2,738,738,0,2006,2006,0,2006,0,9073,754,3,0,1,185546.6809
1095,1364,Pave,7,2,437,Gtl,6,AllPub,2,1364,1220,0,2006,2006,1,2006,14,3087,0,2,453,0,161595.0158
1096,1511,Pave,7,2,398,Gtl,5,AllPub,2,1511,1368,4,2002,2002,1,2002,40,2938,0,2,1038,0,154672.4228
1097,1548,Pave,7,2,388,Gtl,7,AllPub,2,1548,1365,2,2004,2004,1,2004,18,3072,0,2,1059,0,159355.7101
1098,1142,Pave,7,2,440,Gtl,6,AllPub,2,1142,1142,1,2005,2006,0,2005,14,3010,0,2,16,0,155919.0141
1099,1598,Pave,7,2,433,Gtl,7,AllPub,2,848,848,2,2004,2005,1,2004,0,9171,750,3,0,1,182424.871
1100,1889,Pave,6,2,431,Gtl,9,AllPub,2,1008,982,6,2000,2000,1,2000,0,8658,881,3,732,1,178100.5896
1101,2322,Pave,7,3,617,Gtl,8,AllPub,3,1082,1035,0,2006,2006,0,2006,0,12104,1240,4,0,1,202577.9
1102,1976,Pave,8,3,885,Gtl,7,AllPub,2,1079,1044,8,1998,1998,1,1998,242,9660,897,3,791,1,177862.7789
1103,2234,Pave,8,3,768,Gtl,7,AllPub,2,1205,1160,6,2000,2000,1,2000,322,9545,1029,3,505,1,182056.0247
1104,2855,Pave,9,3,774,Gtl,9,AllPub,2,1540,1540,6,2000,2000,1,2000,877,9233,1315,4,1182,1,191403.1992
1105,2726,Pave,8,3,725,Gtl,9,AllPub,2,1358,1342,11,1995,1995,1,1995,397,10019,1368,4,527,1,196264.755
1106,3500,Pave,9,3,959,Gtl,11,AllPub,3,1933,1733,13,1993,1994,1,1993,738,17242,1567,4,292,1,209375.0034
1107,2494,Pave,8,3,803,Gtl,9,AllPub,2,,1290,12,1994,1995,1,1994,501,10236,1189,4,380,1,196691.8193
1108,2799,Pave,8,3,704,Gtl,8,AllPub,2,,1286,13,1993,1993,1,1993,420,12585,1234,3,247,1,192458.4315
1109,1964,Pave,8,2,760,Gtl,8,AllPub,2,1116,1100,1,2005,2006,1,2005,192,12447,848,3,0,1,182242.8093
1110,1670,Pave,8,3,928,Gtl,6,AllPub,2,1670,1670,0,2006,2006,1,2006,0,15218,0,2,1562,1,183259.5039
1111,1504,Pave,8,2,510,Gtl,7,AllPub,2,1504,1504,0,2006,2006,0,2006,60,10936,0,3,0,0,188108.2437
1112,1278,Pave,8,2,584,Gtl,5,AllPub,2,1278,1278,0,2006,2006,0,2006,0,8640,0,2,24,0,171418.6402
1113,2640,Pave,9,3,792,Gtl,11,AllPub,3,2036,2036,0,2006,2006,1,2006,0,13162,604,3,1836,1,194698.8822
1114,1716,Pave,6,2,615,Gtl,7,AllPub,2,858,858,1,2005,2005,0,2005,0,8125,858,3,0,1,174841.8401
1115,1142,Pave,6,0,0,Gtl,5,AllPub,1,1142,1142,1,2005,2005,0,1979,0,7733,0,3,24,1,172965.4765
1116,1400,Pave,7,2,612,Gtl,,AllPub,2,1400,1400,1,2005,2006,0,2005,118,11024,0,3,0,0,189386.3237
1117,1131,Pave,6,0,0,Gtl,,AllPub,1,1131,1131,1,2005,2006,0,1979,0,13072,0,3,0,1,185682.6183
1118,1686,Pave,7,2,462,Gtl,,AllPub,2,891,891,1,2005,2005,0,2005,172,7800,795,3,0,1,176412.0127
1119,1585,Pave,7,2,449,Gtl,,AllPub,2,831,784,1,2005,2005,0,2005,96,7632,754,3,0,1,174976.4897
1120,1837,Pave,6,2,688,Gtl,7,AllPub,2,941,941,9,1997,1998,0,1997,0,8304,896,3,0,1,180718.5817
1121,1731,Pave,6,2,462,Gtl,7,AllPub,2,844,836,14,1992,1993,0,1992,0,9370,887,3,758,1,186131.1882
1122,1398,Pave,6,2,542,Gtl,5,AllPub,2,1398,1398,16,1990,1991,0,1990,0,7175,0,2,904,0,165220.7864
1123,1217,Pave,6,2,484,Gtl,5,AllPub,2,1217,1217,15,1991,1991,0,1991,0,7175,0,2,278,0,164115.8938
1124,1320,Pave,6,2,472,Gtl,6,AllPub,2,636,636,12,1994,1994,0,1994,0,9019,684,3,274,1,182125.7291
1125,988,Pave,5,2,624,Gtl,6,AllPub,1,988,988,44,1962,1962,0,1977,51,9100,0,3,36,0,182285.1402
1126,1654,Pave,6,2,528,Gtl,10,AllPub,2,1286,0,29,1977,1977,0,1977,0,8927,368,4,0,0,196325.4422
1127,1211,Pave,5,2,576,Gtl,6,AllPub,1,1211,864,44,1962,2002,1,1972,0,9240,0,2,612,0,164865.2153
1128,984,Pave,5,1,310,Gtl,5,AllPub,1,984,984,41,1965,1965,0,1965,0,9308,0,3,554,0,182694.4922
1129,909,Pave,5,1,294,Gtl,5,AllPub,1,909,882,38,1968,1968,0,1968,90,8450,0,3,162,0,185425.4855
1130,925,Pave,5,2,484,Gtl,5,AllPub,1,925,925,43,1963,1963,0,1990,0,8638,0,2,181,0,171414.7041
1131,1024,Pave,5,1,308,Gtl,5,AllPub,1,1024,1024,41,1965,1965,0,1965,0,13052,0,3,712,1,183433.4725
1132,912,Pave,5,0,0,Gtl,6,AllPub,1,912,912,42,1964,1964,0,1979,0,8020,0,3,644,0,176844.9812
1133,941,Pave,5,1,288,Gtl,6,AllPub,1,941,912,39,1967,1967,1,1967,0,8789,0,3,659,0,180568.1878
1134,2646,Pave,7,2,550,Gtl,9,AllPub,2,2151,1748,32,1974,1974,4,1974,145,14330,495,3,1023,0,185948.6255
1135,2826,Pave,8,3,888,Mod,9,AllPub,2,1520,1334,14,1992,1993,3,1992,692,11025,1306,3,1118,1,189388.2917
1136,1143,Pave,7,2,588,Gtl,5,AllPub,1,1143,1143,2,2004,2004,1,2004,0,3628,0,1,0,1,142754.4892
1137,1223,Pave,7,2,480,Gtl,4,AllPub,2,520,600,1,2005,2005,0,2005,0,2544,623,2,0,1,156106.8008
1138,1524,Pave,6,2,440,Gtl,4,AllPub,2,768,756,6,2000,2000,0,2000,513,2998,756,2,353,1,155895.3976
1139,1080,Pave,7,2,496,Gtl,4,AllPub,2,530,530,3,2003,2003,0,2003,0,4447,550,2,0,1,159851.9777
1140,1694,Pave,7,1,434,Gtl,6,AllPub,2,854,569,9,1997,1998,1,1997,,8314,840,3,0,1,185157.8323
1141,1568,Pave,8,2,564,Gtl,6,AllPub,2,1568,1568,5,2001,2002,1,2001,0,7180,0,3,0,0,180716.2917
1142,1193,Pave,5,2,501,Gtl,6,AllPub,2,1193,1153,34,1972,1972,0,1972,144,13110,0,2,962,0,176901.094
1143,1334,Pave,7,2,477,Gtl,7,AllPub,2,1334,1334,39,1967,1967,0,1967,264,10140,0,3,553,0,181017.2225
1144,1051,Pave,5,2,504,Gtl,6,AllPub,1,1051,1051,38,1968,1968,0,1968,0,9600,0,3,758,0,183269.1594
1145,1770,Pave,5,2,530,Gtl,7,AllPub,1,884,900,38,1968,1968,0,1968,300,8640,886,4,361,1,193550.8301
1146,976,Pave,6,2,504,Gtl,4,AllPub,1,976,976,38,1968,2004,1,1968,203,9360,0,2,760,0,170625.8427
1147,898,Pave,5,1,326,Gtl,6,AllPub,1,,833,38,1968,1968,0,1968,0,8400,0,3,744,0,182012.4059
1148,1051,Pave,5,1,264,Gtl,6,AllPub,1,,1051,40,1966,1966,0,1966,0,9759,0,3,799,0,179162.5073
1149,1141,Pave,5,1,568,Gtl,6,AllPub,1,,1141,39,1967,1967,0,1967,140,9600,0,3,602,0,183269.1594
1150,1565,Pave,6,1,299,Gtl,7,AllPub,2,,1187,41,1965,2000,2,1965,0,8800,0,3,901,0,180589.8362
1151,1488,Pave,6,2,430,Gtl,7,AllPub,1,1488,1008,42,1964,1964,1,1964,112,10368,0,3,260,1,181465.9352
1152,1440,Pave,5,2,480,Gtl,7,AllPub,1,720,,42,1964,1964,1,1964,0,,720,4,360,1,196053.0299
1153,1248,Pave,5,1,286,Gtl,6,AllPub,1,1248,1248,46,1960,1960,0,1960,88,10800,0,3,632,0,183421.0203
1154,816,Pave,6,1,240,Gtl,4,AllPub,1,816,816,72,1934,1950,1,1949,0,8550,0,2,574,0,167926.8391
1155,1043,Pave,5,1,273,Gtl,5,AllPub,1,1043,938,59,1947,1950,1,1947,0,9724,0,2,0,0,168027.531
1156,1433,Pave,5,2,441,Gtl,7,AllPub,1,1433,1251,45,1961,1990,1,1961,0,9600,0,3,915,0,182164.2669
1157,1624,Pave,5,1,240,Gtl,6,AllPub,1,1624,1444,54,1952,1952,1,1952,150,10858,0,2,40,0,172469.0716
1158,1216,Pave,5,1,280,Gtl,7,AllPub,1,1216,1056,55,1951,1951,0,1951,144,9600,0,3,996,0,181059.3743
1159,1728,Pave,5,1,234,Gtl,7,AllPub,1,1024,704,57,1949,1973,1,1949,0,9462,704,3,0,1,182997.5701
1160,936,Pave,5,1,240,Gtl,5,AllPub,1,936,936,52,1954,1975,0,1954,0,9888,0,2,486,0,166140.5042
1161,1584,Pave,5,2,506,Gtl,8,AllPub,2,1584,1584,39,1967,1967,0,1967,0,8917,0,4,0,0,198515.5469
1162,1246,Pave,6,2,441,Gtl,6,AllPub,1,1246,1246,42,1964,1964,2,1964,0,12700,0,3,939,0,193789.6485
1163,1008,Pave,6,2,430,Gtl,5,AllPub,1,1008,1008,43,1963,1963,0,1963,332,9723,0,2,0,0,173550.0257
1164,1364,Pave,5,1,331,Gtl,6,AllPub,1,1364,1179,49,1957,1957,1,1957,0,8400,0,3,623,1,176487.9432
1165,1336,Pave,6,2,488,Gtl,7,AllPub,1,1336,1121,48,1958,1958,1,1958,632,9610,0,3,203,1,188813.3026
1166,1370,Pave,5,1,300,Gtl,6,AllPub,1,1370,1058,50,1956,1956,1,1956,272,10000,0,3,678,0,178531.912
1167,1124,Pave,6,1,353,Gtl,6,AllPub,1,1124,1124,50,1956,1994,1,1956,0,10152,0,3,914,0,182145.7315
1168,1050,Pave,6,1,286,Gtl,6,AllPub,1,1050,1050,52,1954,2000,0,1954,176,8092,0,3,824,0,179196.465
1169,1008,Pave,5,1,280,Gtl,4,AllPub,1,1008,1008,54,1952,2003,0,1952,0,12778,0,2,658,0,169618.3499
1170,1575,Pave,6,2,400,Gtl,5,AllPub,1,1575,216,55,1951,1951,1,1951,522,10170,0,2,0,1,170010.1687
1171,1145,Pave,5,2,684,Gtl,6,AllPub,1,1145,301,50,1956,1956,0,1993,0,7700,,3,271,0,181739.6717
1172,1005,Pave,5,1,319,Gtl,6,AllPub,1,1005,1005,50,1956,1956,1,1956,0,11050,0,2,488,0,172846.935
1173,1056,Pave,5,1,300,Gtl,6,AllPub,1,1056,1056,51,1955,1955,0,1955,0,13600,0,3,144,1,195560.883
1174,884,Pave,5,1,270,Gtl,4,AllPub,1,884,884,55,1951,1991,0,1951,0,15428,0,2,741,0,180358.1143
1175,2039,Pave,7,3,791,Gtl,7,AllPub,1,2039,929,65,1941,1963,3,1941,0,21299,0,3,0,1,211817.7028
1176,1384,Pave,5,2,896,Gtl,6,AllPub,1,1384,1015,50,1956,2001,0,2001,0,13300,0,2,494,0,176170.1287
1177,2640,Pave,5,3,1008,Gtl,10,AllPub,2,1392,2171,81,1925,1975,1,1977,0,22136,1248,5,1018,1,234492.2483
1178,1312,Pave,6,2,649,Gtl,6,AllPub,1,900,784,59,1947,1950,0,1953,0,7500,412,3,0,1,182450.9565
1179,713,Pave,3,1,371,Gtl,5,AllPub,1,713,713,76,1930,2001,0,1936,0,10410,0,2,0,0,174902.0681
1180,715,Pave,3,2,660,Gtl,4,AllPub,1,715,715,77,1929,1950,0,1967,0,10914,0,2,0,0,173684.1743
1181,720,Pave,4,1,280,Gtl,5,AllPub,1,448,,106,1900,1998,0,1900,0,7008,272,1,0,0,147196.6737
1182,1595,Pave,6,2,528,Gtl,7,AllPub,2,774,663,91,1915,1950,1,1974,0,7200,821,3,338,0,175231.1897
1183,1760,Pave,4,2,648,Gtl,7,AllPub,1,981,1077,96,1910,1950,1,1935,0,10818,779,4,0,1,193417.6474
1184,1146,Pave,6,1,294,Gtl,6,AllPub,1,1146,1083,43,1963,1963,1,1963,379,10184,0,3,580,0,183313.6012
1185,1207,Pave,6,1,264,Gtl,6,AllPub,1,1207,1135,44,1962,1985,0,1962,161,9510,0,3,701,1,180882.2508
1186,1773,Pave,6,2,418,Gtl,6,AllPub,2,1773,1313,45,1961,1992,2,1961,104,10800,0,3,913,0,186735.698
1187,1472,Pave,7,2,484,Gtl,5,AllPub,2,1472,0,47,1959,1959,1,1959,58,11650,0,2,0,0,172922.8654
1188,2448,Pave,7,2,441,Gtl,9,AllPub,3,1900,1438,44,1962,1998,2,1962,0,18275,548,3,636,0,202551.6772
1189,1521,Pave,4,1,597,Gtl,6,AllPub,1,910,910,56,1950,1950,0,1950,0,12144,611,3,455,1,190485.6341
1190,1040,Pave,3,2,400,Gtl,6,AllPub,2,1040,0,56,1950,1950,0,1950,0,8544,0,2,0,0,173439.4936
1191,1556,Pave,5,0,0,Gtl,8,AllPub,2,1556,1556,46,1960,1960,0,1979,0,8512,0,4,0,0,196613.5988
1192,1150,Pave,5,1,288,Gtl,6,AllPub,1,1150,1150,45,1961,1961,0,1961,0,7000,0,3,781,0,178152.2597
1193,1045,Pave,7,2,528,Gtl,6,AllPub,1,1045,1045,44,1962,1962,0,1962,0,7400,,,809,0,174519.9048
1194,864,Pave,5,1,336,Gtl,5,AllPub,1,864,864,44,1962,1962,0,1962,0,7000,,,468,0,172627.7969
1195,1025,Pave,5,0,0,Gtl,6,AllPub,1,1025,1025,44,1962,1962,0,1979,0,7000,0,3,953,0,173732.6895
1196,2014,Pave,5,2,624,Gtl,8,AllPub,2,1007,716,106,1900,2005,0,1900,0,9856,1007,5,0,0,209219.8448
1197,1668,Pave,5,1,240,Gtl,6,AllPub,1,1226,1212,58,1948,1950,0,1948,264,9600,442,3,276,0,181059.3743
1198,1657,Pave,4,1,162,Gtl,9,AllPub,1,1147,1147,86,1920,1980,1,1920,0,5520,510,4,284,0,188515.443
1199,1416,Pave,6,2,400,Gtl,7,AllPub,1,940,780,106,1900,2004,0,1956,0,9600,476,3,381,0,182164.2669
1200,1428,Pave,7,2,576,Gtl,7,AllPub,1,848,712,106,1900,1970,0,1985,0,6451,580,4,208,0,188137.9016
1201,1004,Pave,7,1,200,Gtl,5,AllPub,1,502,502,76,1930,1950,1,1930,0,3960,502,2,0,0,158893.5431
1202,1951,Pave,4,2,576,Gtl,9,AllPub,2,1084,938,106,1900,1950,0,1993,0,7745,867,4,0,0,189579.6507
1203,1032,Pave,6,1,280,Gtl,5,AllPub,1,1032,1032,82,1924,1950,0,1995,0,7741,0,2,143,0,165229.8035
1204,844,Pave,5,1,216,Gtl,5,AllPub,1,844,844,81,1925,1950,0,1925,0,5633,0,2,0,0,162186.0712
1205,864,Pave,4,1,528,Gtl,5,AllPub,1,864,576,56,1950,1950,0,1952,0,7200,0,2,0,0,166374.8799
1206,1376,Pave,3,1,216,Mod,7,AllPub,1,714,738,101,1905,1950,0,1930,0,7614,662,2,0,0,161665.185
1207,960,Pave,5,2,576,Gtl,5,AllPub,1,960,960,51,1955,1955,0,1976,0,6000,0,3,576,0,175079.3288
1208,1566,Pave,5,2,450,Gtl,7,AllPub,1,816,816,82,1924,1950,0,1976,145,6000,750,5,0,1,203840.874
1209,492,Pave,3,1,200,Gtl,3,AllPub,1,492,,85,1921,1950,0,1921,0,7830,0,1,416,0,152129.0789
1210,1182,Pave,6,1,378,Gtl,5,AllPub,1,885,770,61,1945,1950,0,1945,0,9576,297,3,310,1,181012.1414
1211,840,Pave,3,1,250,Gtl,5,AllPub,1,840,798,86,1920,1950,0,1938,0,5747,0,2,0,0,161305.535
1212,2104,Pave,7,2,432,Gtl,9,AllPub,2,1226,1226,96,1910,2005,0,1910,0,6300,878,5,0,0,203326.393
1213,1248,Pave,5,0,0,Gtl,8,AllPub,2,624,624,86,1920,1950,0,1979,0,5976,624,2,0,0,168385.5711
1214,960,Pave,5,2,624,Gtl,5,AllPub,1,960,960,48,1958,1958,0,2002,0,9750,0,3,0,0,183564.3652
1215,1020,Pave,3,0,0,Gtl,5,AllPub,1,1020,1020,88,1918,1950,0,1979,0,4761,0,2,0,0,163784.6194
1216,1827,Pave,6,1,240,Gtl,9,AllPub,1,1017,848,82,1924,1996,1,1943,0,11737,810,2,0,0,171989.1922
1217,1162,Pave,3,1,258,Gtl,6,AllPub,1,728,728,76,1930,1950,0,1930,0,6120,434,3,347,0,180839.9562
1218,1324,Pave,5,1,180,Gtl,7,AllPub,1,741,741,76,1930,1984,0,1930,0,6120,583,3,0,0,170895.9232
1219,816,Pave,5,1,210,Gtl,4,AllPub,1,816,816,81,1925,1950,0,1925,0,11672,0,2,0,0,174071.0548
1220,2486,Pave,6,2,576,Gtl,8,AllPub,2,1611,1595,44,1962,1962,1,1962,0,33120,875,5,0,0,259423.8591
1221,1430,Pave,4,2,370,Gtl,7,AllPub,2,834,596,82,1924,1950,0,1924,0,10320,596,3,0,0,188000.8247
1222,1330,Pave,5,1,390,Gtl,7,AllPub,1,665,396,96,1910,2004,0,2001,0,7518,665,3,0,0,179171.7036
1223,819,Pave,5,0,0,Gtl,4,AllPub,1,819,610,87,1919,1950,0,1979,0,9000,0,2,0,0,171022.2414
1224,984,Pave,6,1,308,Gtl,6,AllPub,1,984,984,76,1930,1950,0,1930,0,7200,0,3,343,0,174126.2972
1225,1422,Pave,5,1,288,Gtl,7,AllPub,1,1081,806,55,1951,1951,1,1951,41,12375,341,3,329,0,187625.5733
1226,1921,Pave,6,2,576,Gtl,8,AllPub,2,1921,1921,42,1964,1964,0,1964,0,11136,0,4,0,0,199567.9464
1227,1640,Pave,5,2,394,Gtl,7,AllPub,1,1640,0,56,1950,1950,1,1950,0,21370,0,3,0,0,205328.0782
1228,1032,Pave,5,1,260,Gtl,6,AllPub,1,1032,0,71,1935,1950,1,1939,0,8250,0,2,0,0,166231.535
1229,879,Pave,5,1,180,Gtl,4,AllPub,1,879,830,70,1936,1950,0,1936,0,5220,0,2,0,0,154743.9161
1230,1073,Pave,7,1,246,Gtl,4,AllPub,2,1073,1073,2,2004,2004,0,2004,0,5500,0,2,510,0,159714.537
1231,1064,Pave,5,2,528,Gtl,6,AllPub,1,1064,1064,39,1967,1967,1,1967,305,11327,0,3,779,0,185563.0691
1232,934,Pave,6,1,336,Gtl,4,AllPub,1,934,912,42,1964,1964,0,1964,0,10366,0,2,456,0,171500.7967
1233,1059,Pave,5,1,286,Gtl,6,AllPub,1,1059,1059,40,1966,1966,0,1966,0,9000,0,3,773,0,180983.4438
1234,1458,Pave,5,2,512,Gtl,7,AllPub,1,1458,1176,39,1967,1967,1,1967,450,9535,0,3,194,1,183141.2369
1235,1040,Pave,6,2,616,Gtl,6,AllPub,1,1040,960,28,1978,1978,1,1979,200,7176,0,3,794,0,178498.6345
1236,1967,Pave,5,2,580,Gtl,10,AllPub,2,1967,1967,29,1977,1977,0,1977,0,9662,0,6,0,0,224323.7105
1237,1949,Pave,5,2,586,Gtl,10,AllPub,2,1949,1949,29,1977,1977,0,1977,99,8235,0,6,483,0,218200.6421
1238,872,Pave,5,1,322,Gtl,5,AllPub,1,872,872,82,1924,1950,1,1924,65,17529,0,2,0,0,182283.1778
1239,1830,Pave,7,2,521,Mod,6,AllPub,1,1830,1865,39,1967,1967,2,1967,123,,0,2,810,0,190054.6392
1240,1000,Pave,5,2,575,Mod,4,AllPub,1,1000,1000,43,1963,1963,2,1993,0,,0,1,104,0,160192.4539
1241,810,Pave,5,2,576,Gtl,4,AllPub,1,810,782,35,1971,1972,0,1973,153,10820,0,2,535,0,171289.3936
1242,1700,Pave,7,1,450,Gtl,7,AllPub,2,880,430,26,1980,1981,0,1980,0,1700,680,2,397,1,151131.0987
1243,1350,Pave,4,2,504,Gtl,6,AllPub,1,1350,967,52,1954,1954,1,1954,0,9375,0,3,799,1,181721.4582
1244,1150,Pave,5,1,215,Gtl,6,AllPub,1,799,799,64,1942,1950,2,1942,0,6488,351,3,230,0,172725.0539
1245,2009,Pave,6,3,795,Gtl,8,AllPub,2,1337,672,78,1928,1950,2,1928,0,19950,672,4,0,0,222438.6991
1246,3672,Pave,6,2,836,Gtl,7,AllPub,3,1836,1836,71,1935,1990,2,1993,0,19800,1836,5,425,1,235419.3734
1247,1560,Pave,5,2,528,Gtl,6,AllPub,2,1560,1776,44,1962,1962,1,1962,96,11679,0,3,612,0,185150.926
1248,1488,Pave,5,2,569,Gtl,7,AllPub,1,1488,0,54,1952,2002,1,2002,232,12048,0,3,0,0,184772.2396
1249,1057,Pave,5,1,288,Gtl,6,AllPub,1,1057,1057,51,1955,1999,0,1955,164,10519,0,3,0,0,180658.2164
